# g: (p_leaf,p_c2,p_phase, leaf,c2, r_mo) -> phase
# p_* = parent node state; leaf/c2 = this node; phase = this node's hidden state
p(0,0,0) | this(0,1) r_mo=0 -> 0
p(0,0,0) | this(0,1) r_mo=1 -> 0
p(0,0,0) | this(1,2) r_mo=0 -> 0
p(0,0,0) | this(1,2) r_mo=1 -> 0
p(0,0,0) | this(2,0) r_mo=0 -> 2
p(0,0,0) | this(2,0) r_mo=1 -> 2
p(0,0,0) | this(3,0) r_mo=0 -> 0
p(0,0,0) | this(3,0) r_mo=1 -> 1
p(0,0,0) | this(4,2) r_mo=0 -> 0
p(0,0,0) | this(4,2) r_mo=1 -> 0
p(0,0,0) | this(5,1) r_mo=0 -> 0
p(0,0,0) | this(5,1) r_mo=1 -> 2
p(0,0,0) | this(6,2) r_mo=0 -> 0
p(0,0,0) | this(6,2) r_mo=1 -> 0
p(0,0,0) | this(7,0) r_mo=0 -> 0
p(0,0,0) | this(7,0) r_mo=1 -> 1
p(0,0,0) | this(8,1) r_mo=0 -> 1
p(0,0,0) | this(8,1) r_mo=1 -> 1
p(0,1,0) | this(0,2) r_mo=0 -> 0
p(0,1,0) | this(0,2) r_mo=1 -> 0
p(0,1,0) | this(1,0) r_mo=0 -> 0
p(0,1,0) | this(1,0) r_mo=1 -> 0
p(0,1,0) | this(2,1) r_mo=0 -> 1
p(0,1,0) | this(2,1) r_mo=1 -> 0
p(0,1,0) | this(3,1) r_mo=0 -> 0
p(0,1,0) | this(3,1) r_mo=1 -> 0
p(0,1,0) | this(4,0) r_mo=0 -> 1
p(0,1,0) | this(4,0) r_mo=1 -> 0
p(0,1,0) | this(5,2) r_mo=0 -> 0
p(0,1,0) | this(5,2) r_mo=1 -> 0
p(0,1,0) | this(6,0) r_mo=0 -> 1
p(0,1,0) | this(6,0) r_mo=1 -> 0
p(0,1,0) | this(7,1) r_mo=0 -> 0
p(0,1,0) | this(7,1) r_mo=1 -> 1
p(0,1,0) | this(8,2) r_mo=0 -> 0
p(0,1,0) | this(8,2) r_mo=1 -> 1
p(0,2,0) | this(0,0) r_mo=0 -> 0
p(0,2,0) | this(0,0) r_mo=1 -> 0
p(0,2,0) | this(1,1) r_mo=0 -> 0
p(0,2,0) | this(1,1) r_mo=1 -> 1
p(0,2,0) | this(2,2) r_mo=0 -> 0
p(0,2,0) | this(2,2) r_mo=1 -> 1
p(0,2,0) | this(3,2) r_mo=0 -> 1
p(0,2,0) | this(3,2) r_mo=1 -> 0
p(0,2,0) | this(4,1) r_mo=0 -> 0
p(0,2,0) | this(4,1) r_mo=1 -> 0
p(0,2,0) | this(5,0) r_mo=0 -> 0
p(0,2,0) | this(5,0) r_mo=1 -> 2
p(0,2,0) | this(6,1) r_mo=0 -> 0
p(0,2,0) | this(6,1) r_mo=1 -> 0
p(0,2,0) | this(7,2) r_mo=0 -> 0
p(0,2,0) | this(7,2) r_mo=1 -> 0
p(0,2,0) | this(8,0) r_mo=0 -> 0
p(0,2,0) | this(8,0) r_mo=1 -> 1
p(1,0,0) | this(0,1) r_mo=0 -> 0
p(1,0,0) | this(0,1) r_mo=1 -> 0
p(1,0,0) | this(1,2) r_mo=0 -> 0
p(1,0,0) | this(1,2) r_mo=1 -> 0
p(1,0,0) | this(2,0) r_mo=0 -> 2
p(1,0,0) | this(2,0) r_mo=1 -> 2
p(1,0,0) | this(3,0) r_mo=0 -> 0
p(1,0,0) | this(3,0) r_mo=1 -> 1
p(1,0,0) | this(4,2) r_mo=0 -> 0
p(1,0,0) | this(4,2) r_mo=1 -> 0
p(1,0,0) | this(5,1) r_mo=0 -> 0
p(1,0,0) | this(5,1) r_mo=1 -> 2
p(1,0,0) | this(6,2) r_mo=0 -> 0
p(1,0,0) | this(6,2) r_mo=1 -> 0
p(1,0,0) | this(7,0) r_mo=0 -> 0
p(1,0,0) | this(7,0) r_mo=1 -> 1
p(1,0,0) | this(8,1) r_mo=0 -> 1
p(1,0,0) | this(8,1) r_mo=1 -> 1
p(1,1,0) | this(0,2) r_mo=0 -> 0
p(1,1,0) | this(1,0) r_mo=0 -> 0
p(1,1,0) | this(2,1) r_mo=0 -> 1
p(1,1,0) | this(3,1) r_mo=0 -> 0
p(1,1,0) | this(4,0) r_mo=0 -> 1
p(1,1,0) | this(5,2) r_mo=0 -> 0
p(1,1,0) | this(6,0) r_mo=0 -> 1
p(1,1,0) | this(7,1) r_mo=0 -> 0
p(1,1,0) | this(8,2) r_mo=0 -> 0
p(1,1,1) | this(0,2) r_mo=1 -> 0
p(1,1,1) | this(1,0) r_mo=1 -> 0
p(1,1,1) | this(2,1) r_mo=1 -> 0
p(1,1,1) | this(3,1) r_mo=1 -> 0
p(1,1,1) | this(4,0) r_mo=1 -> 0
p(1,1,1) | this(5,2) r_mo=1 -> 0
p(1,1,1) | this(6,0) r_mo=1 -> 0
p(1,1,1) | this(7,1) r_mo=1 -> 1
p(1,1,1) | this(8,2) r_mo=1 -> 1
p(1,2,0) | this(0,0) r_mo=0 -> 0
p(1,2,0) | this(0,0) r_mo=1 -> 0
p(1,2,0) | this(1,1) r_mo=0 -> 0
p(1,2,0) | this(1,1) r_mo=1 -> 1
p(1,2,0) | this(2,2) r_mo=0 -> 0
p(1,2,0) | this(2,2) r_mo=1 -> 1
p(1,2,0) | this(3,2) r_mo=0 -> 1
p(1,2,0) | this(3,2) r_mo=1 -> 0
p(1,2,0) | this(4,1) r_mo=0 -> 0
p(1,2,0) | this(4,1) r_mo=1 -> 0
p(1,2,0) | this(5,0) r_mo=0 -> 0
p(1,2,0) | this(5,0) r_mo=1 -> 2
p(1,2,0) | this(6,1) r_mo=0 -> 0
p(1,2,0) | this(6,1) r_mo=1 -> 0
p(1,2,0) | this(7,2) r_mo=0 -> 0
p(1,2,0) | this(7,2) r_mo=1 -> 0
p(1,2,0) | this(8,0) r_mo=0 -> 0
p(1,2,0) | this(8,0) r_mo=1 -> 1
p(2,0,2) | this(0,1) r_mo=0 -> 0
p(2,0,2) | this(0,1) r_mo=1 -> 0
p(2,0,2) | this(1,2) r_mo=0 -> 0
p(2,0,2) | this(1,2) r_mo=1 -> 0
p(2,0,2) | this(2,0) r_mo=0 -> 2
p(2,0,2) | this(2,0) r_mo=1 -> 2
p(2,0,2) | this(3,0) r_mo=0 -> 0
p(2,0,2) | this(3,0) r_mo=1 -> 1
p(2,0,2) | this(4,2) r_mo=0 -> 0
p(2,0,2) | this(4,2) r_mo=1 -> 0
p(2,0,2) | this(5,1) r_mo=0 -> 0
p(2,0,2) | this(5,1) r_mo=1 -> 2
p(2,0,2) | this(6,2) r_mo=0 -> 0
p(2,0,2) | this(6,2) r_mo=1 -> 0
p(2,0,2) | this(7,0) r_mo=0 -> 0
p(2,0,2) | this(7,0) r_mo=1 -> 1
p(2,0,2) | this(8,1) r_mo=0 -> 1
p(2,0,2) | this(8,1) r_mo=1 -> 1
p(2,1,0) | this(0,2) r_mo=1 -> 0
p(2,1,0) | this(1,0) r_mo=1 -> 0
p(2,1,0) | this(2,1) r_mo=1 -> 0
p(2,1,0) | this(3,1) r_mo=1 -> 0
p(2,1,0) | this(4,0) r_mo=1 -> 0
p(2,1,0) | this(5,2) r_mo=1 -> 0
p(2,1,0) | this(6,0) r_mo=1 -> 0
p(2,1,0) | this(7,1) r_mo=1 -> 1
p(2,1,0) | this(8,2) r_mo=1 -> 1
p(2,1,1) | this(0,2) r_mo=0 -> 0
p(2,1,1) | this(1,0) r_mo=0 -> 0
p(2,1,1) | this(2,1) r_mo=0 -> 1
p(2,1,1) | this(3,1) r_mo=0 -> 0
p(2,1,1) | this(4,0) r_mo=0 -> 1
p(2,1,1) | this(5,2) r_mo=0 -> 0
p(2,1,1) | this(6,0) r_mo=0 -> 1
p(2,1,1) | this(7,1) r_mo=0 -> 0
p(2,1,1) | this(8,2) r_mo=0 -> 0
